layer,branch,top1_top2_full,gold_full
0,full_raw,2.6922779083251953,-26.301036834716797
1,full_raw,3.6548080444335938,-31.033702850341797
2,full_raw,2.9400253295898438,-30.287059783935547
3,full_raw,1.8263740539550781,-29.438472747802734
4,full_raw,1.2694110870361328,-28.2801513671875
5,full_raw,0.9102191925048828,-30.93478012084961
6,full_raw,5.3180742263793945,-34.56675720214844
7,full_raw,1.2672948837280273,-34.360809326171875
8,full_raw,2.3303451538085938,-38.66996383666992
9,full_raw,4.725889205932617,-43.99017333984375
10,full_raw,2.006031036376953,-41.297508239746094
11,full_raw,6.7760772705078125,-48.30477523803711
12,full_raw,7.992349624633789,-51.911956787109375
13,full_raw,13.417126655578613,-65.47280883789062
14,full_raw,16.800525665283203,-72.1287841796875
15,full_raw,20.573822021484375,-90.19767761230469
16,full_raw,21.036327362060547,-108.06710815429688
17,full_raw,22.102073669433594,-140.73272705078125
18,full_raw,8.729461669921875,-161.50892639160156
19,full_raw,7.038505554199219,-198.49798583984375
20,full_raw,1.5862884521484375,-227.8796844482422
21,full_raw,1.8588409423828125,-291.87738037109375
22,full_raw,0.13653564453125,-404.6173095703125
23,full_raw,0.0352630615234375,-7.652313232421875
0,full_tuned,0.3625946044921875,-4.47161865234375
1,full_tuned,0.167236328125,-4.1724700927734375
2,full_tuned,0.331878662109375,-4.4595947265625
3,full_tuned,0.202301025390625,-4.1942138671875
4,full_tuned,0.313446044921875,-4.2960052490234375
5,full_tuned,0.22882080078125,-4.371551513671875
6,full_tuned,0.4260406494140625,-4.428497314453125
7,full_tuned,0.2980499267578125,-4.5202789306640625
8,full_tuned,0.2685394287109375,-4.467010498046875
9,full_tuned,0.331512451171875,-4.487640380859375
10,full_tuned,0.401031494140625,-4.6085968017578125
11,full_tuned,0.368316650390625,-4.4147491455078125
12,full_tuned,0.3779144287109375,-4.3627777099609375
13,full_tuned,0.5234222412109375,-4.5601806640625
14,full_tuned,0.67474365234375,-4.6009063720703125
15,full_tuned,0.71429443359375,-4.49664306640625
16,full_tuned,0.32562255859375,-4.5619049072265625
17,full_tuned,0.7828826904296875,-4.8590850830078125
18,full_tuned,0.6002044677734375,-4.88568115234375
19,full_tuned,0.0406494140625,-4.835205078125
20,full_tuned,0.2405853271484375,-6.3765106201171875
21,full_tuned,0.054046630859375,-6.85211181640625
22,full_tuned,0.010162353515625,-4.9626922607421875
23,full_tuned,0.2805633544921875,-4.9837493896484375
